#,ごい,Vocabulary,Type,Meaning,Learning Status,Level
142,鼻,hana,Noun,nose,unseen,N5
,,はな,,,unseen,N5
143,話,hanashi,Noun,talk; speech; chat; conversation​,unseen,N5
,,はなし,,,unseen,N5
144,話す,hanasu,"Verb, Godan verb, Transitive verb",to speak; to talk; to converse,unseen,N5
,,はなす,,,unseen,N5
145,半分,hanbun,Noun,half,unseen,N5
,,はんぶん,,,unseen,N5
146,ハンカチ,hankachi,"Noun, Katakana",handkerchief​,unseen,N5
,,,,,,
147,晴れ,hare,Noun,clear weather,unseen,N5
,,はれ,,,unseen,N5
148,晴れる,hareru,"Verb, Ichidan verb, Intransitive verb",to be sunny,unseen,N5
,,はれる,,,unseen,N5
149,春,haru,Noun,spring; springtime,unseen,N5
,,はる,,,unseen,N5
150,貼る,haru,"Verb, Godan verb, Transitive verb",to stick; to paste,unseen,N5
,,はる,,,unseen,N5
151,箸,hashi,Noun,chopsticks,unseen,N5
,,はし,,,unseen,N5
152,橋,hashi,Noun,bridge,unseen,N5
,,はし,,,unseen,N5
153,走る,hashiru,"Verb, Godan verb, Intransitive verb",to run,unseen,N5
,,はしる,,,unseen,N5
154,二十歳,hatachi,Noun,20 years old; twenty years old,unseen,N5
,,はたち,,,unseen,N5
155,働く,hataraku,"Verb, Godan verb, Intransitive verb",to work,unseen,N5
,,はたらく,,,unseen,N5
156,二十日,hatsuka,Noun,twentieth day of the month / 20 days,unseen,N5
,,はつか,,,unseen,N5
157,速い,hayai,"Adjective, い-adjective",fast; quick; hasty; brisk,unseen,N5
,,はやい,,,unseen,N5
158,早い,hayai,"Adjective, い-adjective",fast; early,unseen,N5
,,はやい,,,unseen,N5
159,辺,hen,Noun,area,unseen,N5
,,へん,,,unseen,N5
160,下手,heta,"Noun, Adjective, な-adjective",unskillful; poor; awkward​,unseen,N5
,,へた,,,unseen,N5
161,部屋,heya,Noun,room,unseen,N5
,,へや,,,unseen,N5
162,左,hidari,Noun,left; left hand side,unseen,N5
,,ひだり,,,unseen,N5
163,東,higashi,Noun,east,unseen,N5
,,ひがし,,,unseen,N5
164,飛行機,hikouki,Noun,airplane; aircraft,unseen,N5
,,ひこうき,,,unseen,N5
165,引く,hiku,"Verb, Godan verb, Transitive verb",to pull,unseen,N5
,,ひく,,,unseen,N5
166,弾く,hiku,"Verb, Godan verb, Transitive verb",to play,unseen,N5
,,ひく,,,unseen,N5
167,低い,hikui,い-adjective,"short,low",unseen,N5
,,ひくい,,,unseen,N5
168,暇,hima,"Noun, な-adjective",free time,unseen,N5
,,ひま,,,unseen,N5
