#,Word,Hiragana,Romaji,Type,Meaning,Learning Status,Level
175.0,ほか,,hoka,Noun,"other (place, thing, person); the rest",unseen,N5
176.0,本,ほん,hon,Noun,book; volume; script,unseen,N5
177.0,本棚,ほんだな,hondana,Noun,bookshelf; bookcase,unseen,N5
178.0,本当,ほんとう,hontou,"Noun, Adjective, な-adjective",truth; reality; actuality; fact,unseen,N5
179.0,欲しい,ほしい,hoshii,"Adjective, い-adjective",want,unseen,N5
180.0,細い,ほそい,hosoi,"Adjective, い-adjective",thin; slender,unseen,N5
181.0,ホテル,,hoteru,"Noun, Katakana",hotel,unseen,N5
182.0,百,ひゃく,hyaku,"Noun, Numeric",100; hundred,unseen,N5
183.0,一,いち,ichi,"Noun, Prefix, Suffix, Numeric",one; best; first; foremost; start,unseen,N5
184.0,一番,いちばん,ichiban,"Noun, Adverb","number one; first; 1st, first place​; best; most​",unseen,N5
185.0,一日,いちにち,ichinichi,"Noun, Adverbial Noun","one day, all day",unseen,N5
186.0,家,いえ,ie,Noun,"house, residence, family",unseen,N5
187.0,いかが,,ikaga,Adverb,how; in what way; how about​,unseen,N5
188.0,池,いけ,ike,Noun,pond,unseen,N5
189.0,行く,いく,iku,"Verb, Godan verb, Intransitive verb",to go; to move,unseen,N5
190.0,いくら,,ikura,"Noun, Adverb",how much?; how many?​,unseen,N5
191.0,いくつ,,ikutsu,Adverb,"how many?,how old?",unseen,N5
192.0,今,いま,ima,"Noun, Adverbial Noun",now; the present time; soon,unseen,N5
193.0,意味,いみ,imi,Noun,meaning; significance; sense,unseen,N5
194.0,妹,いもうと,imouto,Noun,younger sister,unseen,N5
195.0,犬,いぬ,inu,Noun,dog,unseen,N5
196.0,入れる,いれる,ireru,"Verb, Ichidan verb, Transitive verb",to put in; to let in; to take in; to bring in; to insert; to install,unseen,N5
197.0,入口,いりぐち,iriguchi,Noun,entrance; entry; gate,unseen,N5
198.0,色,いろ,iro,Noun,colour; color,unseen,N5
199.0,色々,いろいろ,iroiro,"Noun, Adjective, な-adjective, Adverb",various,unseen,N5
200.0,要る,いる,iru,"Verb, Godan verb, Intransitive verb",to be needed,unseen,N5
201.0,居る,いる,iru,"Verb, Ichidan verb, Intransitive verb","to be, to have",unseen,N5
202.0,医者,いしゃ,isha,Noun,(medical) doctor; physician,unseen,N5
203.0,忙しい,いそがしい,isogashii,"Adjective, い-adjective",busy,unseen,N5
204.0,一緒,いっしょ,issho,Noun,together; at the same time; same; identical,unseen,N5
205.0,椅子,いす,isu,Noun,chair,unseen,N5
206.0,痛い,いたい,itai,"Adjective, い-adjective",painful; sore​,unseen,N5
207.0,いつ,,itsu,Pronoun,when,unseen,N5
208.0,五日,いつか,itsuka,Noun,the fifth day of the month / 5 days,unseen,N5
209.0,五つ,いつつ,itsutsu,"Noun, Numeric",five; 5,unseen,N5
210.0,言う,いう,iu,"Verb, Godan verb",to say; to call,unseen,N5
211.0,嫌,いや,iya,"Noun, Adjective, な-adjective",unpleasant,unseen,N5
212.0,じゃあ,,jaa,Conjunction,then; well; so; well then,unseen,N5
213.0,字引,じびき,jibiki,Noun,dictionary,unseen,N5
214.0,自分,じぶん,jibun,Pronoun,myself; yourself; oneself; himself; herself; i; me,unseen,N5
215.0,自動車,じどうしゃ,jidousha,Noun,automobile; motorcar; motor vehicle; car,unseen,N5
216.0,時間,じかん,jikan,Noun,time; hour(s),unseen,N5
217.0,辞書,じしょ,jisho,Noun,dictionary,unseen,N5
218.0,自転車,じてんしゃ,jitensha,Noun,bicycle,unseen,N5
219.0,丈夫,じょうぶ,joubu,"Adjective, な-adjective","strong, durable",unseen,N5
220.0,上手,じょうず,jouzu,"Noun, Adjective, な-adjective",skillful; skilled; proficient; good (at),unseen,N5
221.0,授業,じゅぎょう,jugyou,"Noun, Suru verb",lesson; class work,unseen,N5
222.0,十,じゅう,juu,"Noun, Numeric",ten; 10,unseen,N5
223.0,かばん,,kaban,Noun,bag; basket​,unseen,N5
224.0,花瓶,かびん,kabin,Noun,a vase,unseen,N5
225.0,角,かど,kado,Noun,a corner; angle​,unseen,N5
226.0,帰る,かえる,kaeru,"Verb, Godan verb, Intransitive verb",to go back​,unseen,N5
227.0,返す,かえす,kaesu,"Verb, Godan verb, Transitive verb",to return something,unseen,N5
228.0,鍵,かぎ,kagi,Noun,key,unseen,N5
229.0,階段,かいだん,kaidan,Noun,stairs; stairway; staircase,unseen,N5
230.0,買い物,かいもの,kaimono,Noun,shopping; purchased goods,unseen,N5
231.0,会社,かいしゃ,kaisha,Noun,company; corporation,unseen,N5
232.0,掛かる,かかる,kakaru,"Verb, Godan verb, Intransitive verb","to take (a resource, e.g. time or money)",unseen,N5
233.0,掛ける,かける,kakeru,"Verb, Ichidan verb, Transitive verb",to hang up; to make (a call)​;,unseen,N5
234.0,書く,かく,kaku,"Verb, Godan verb, Transitive verb",to write; to compose; to pen; to draw,unseen,N5
235.0,カメラ,,kamera,"Noun, Katakana",camera,unseen,N5
236.0,紙,かみ,kami,Noun,paper,unseen,N5
237.0,漢字,かんじ,kanji,Noun,kanji,unseen,N5
238.0,カップ,,kappu,"Noun, Katakana",cup,unseen,N5
239.0,体,からだ,karada,Noun,body,unseen,N5
240.0,辛い,からい,karai,い-adjective,spicy,unseen,N5
241.0,カレー,,karee,"Noun, Katakana",curry,unseen,N5
242.0,カレンダー,,karendaa,"Noun, Katakana",calendar,unseen,N5
243.0,借りる,かりる,kariru,"Verb, Ichidan verb, Transitive verb",to borrow,unseen,N5
244.0,軽い,かるい,karui,"Adjective, い-adjective",light,unseen,N5
245.0,傘,かさ,kasa,Noun,umbrella,unseen,N5
246.0,貸す,かす,kasu,"Verb, Godan verb, Transitive verb",to lend; to loan,unseen,N5
247.0,方,かた,kata,Noun,way of doing something,unseen,N5
248.0,家庭,かてい,katei,Noun,household,unseen,N5
249.0,買う,かう,kau,"Verb, Godan verb, Transitive verb",to buy; to purchase,unseen,N5
250.0,川,かわ,kawa,"Noun, Suffix",river; stream​,unseen,N5
251.0,可愛い,かわいい,kawaii,"Adjective, い-adjective",cute,unseen,N5
252.0,火曜日,かようび,kayoubi,Noun,Tuesday,unseen,N5
253.0,風,かぜ,kaze,Noun,wind,unseen,N5
254.0,風邪,かぜ,kaze,Noun,a cold,unseen,N5
255.0,家族,かぞく,kazoku,Noun,family; members of a family,unseen,N5
256.0,警官,けいかん,keikan,Noun,policeman; police officer,unseen,N5
257.0,結婚,けっこん,kekkon,"Noun, Suru verb",marriage,unseen,N5
258.0,結構,けっこう,kekkou,"Noun, Adverbial Noun, Adjective, な-adjective, Adverb","splendid, enough",unseen,N5
259.0,今朝,けさ,kesa,"Noun, Temporal noun",this morning,unseen,N5
260.0,消す,けす,kesu,"Verb, Godan verb, Transitive verb","to erase, to turn off power",unseen,N5
261.0,木,き,ki,Noun,tree; shrub; bush; wood; timber,unseen,N5
262.0,消える,きえる,kieru,"Verb, Ichidan verb, Intransitive verb",to disappear,unseen,N5
263.0,黄色い,きいろい,kiiroi,"Adjective, い-adjective",yellow,unseen,N5
264.0,聞く,きく,kiku,"Verb, Godan verb, Transitive verb",to hear; to listen (to music); to ask; to learn of,unseen,N5
265.0,昨日,きのう,kinou,Noun,yesterday,unseen,N5
266.0,金曜日,きんようび,kinyoubi,Noun,Friday,unseen,N5
267.0,切符,きっぷ,kippu,Noun,ticket,unseen,N5
268.0,嫌い,きらい,kirai,"Noun, Adjective, な-adjective",hate,unseen,N5
269.0,綺麗,きれい,kirei,"Adjective, な-adjective",pretty; lovely; beautiful,unseen,N5
270.0,キログラム,,kiro guramu,"Noun, Katakana",kilogram,unseen,N5
271.0,キロメートル,,kiro meetoru,"Noun, Katakana",kilometer,unseen,N5
272.0,切る,きる,kiru,"Verb, Godan verb, Transitive verb",to cut,unseen,N5
273.0,着る,きる,kiru,"Verb, Ichidan verb, Transitive verb",to wear,unseen,N5
274.0,喫茶店,きっさてん,kissaten,Noun,coffee shop; tearoom; cafe,unseen,N5
275.0,北,きた,kita,Noun,north,unseen,N5
276.0,汚い,きたない,kitanai,"Adjective, い-adjective",dirty,unseen,N5
277.0,切手,きって,kitte,Noun,stamp (postage),unseen,N5
278.0,こっち,,kocchi,Noun,this person or way,unseen,N5
279.0,こちら,,kochira,Noun,this way; this direction​,unseen,N5
280.0,子供,こども,kodomo,Noun,child,unseen,N5
281.0,声,こえ,koe,Noun,voice,unseen,N5
282.0,ここ,,koko,Pronoun,here; this place,unseen,N5
283.0,九日,ここのか,kokonoka,Noun,ninth day of the month / 9 days,unseen,N5
284.0,九つ,ここのつ,kokonotsu,"Noun, Numeric",nine; 9,unseen,N5
285.0,困る,こまる,komaru,"Verb, Godan verb, Intransitive verb",to be troubled,unseen,N5
286.0,今晩,こんばん,konban,Noun,tonight; this evening,unseen,N5
287.0,今月,こんげつ,kongetsu,Noun,this month,unseen,N5
288.0,こんな,,konna,Pre-noun adjectival,such; like this​,unseen,N5
289.0,この,,kono,Pre-noun adjectival,this​,unseen,N5
290.0,今週,こんしゅう,konshuu,Noun,this week,unseen,N5
291.0,コーヒー,,koohii,"Noun, Katakana",Coffee,unseen,N5
292.0,コート,,kooto,"Noun, Katakana",coat,unseen,N5
293.0,コピー,,kopii,"Noun, Suru verb, Katakana",copy; photocopy,unseen,N5
294.0,コップ,,koppu,"Noun, Katakana",glass (drinking vessel); tumbler​,unseen,N5
295.0,これ,,kore,Pronoun,this,unseen,N5
296.0,答える,こたえる,kotaeru,"Verb, Ichidan verb, Intransitive verb",to answer,unseen,N5
297.0,言葉,ことば,kotoba,Noun,word; words,unseen,N5
298.0,今年,ことし,kotoshi,Noun,this year,unseen,N5
299.0,交番,こうばん,kouban,Noun,police box,unseen,N5
300.0,紅茶,こうちゃ,koucha,Noun,black tea,unseen,N5
301.0,公園,こうえん,kouen,Noun,park,unseen,N5
302.0,交差点,こうさてん,kousaten,Noun,intersection,unseen,N5
303.0,口,くち,kuchi,Noun,"mouth, opening",unseen,N5
304.0,果物,くだもの,kudamono,Noun,fruit,unseen,N5
305.0,下さい,ください,kudasai,Expression,please,unseen,N5
